KICK_DATA: timestamp=1777235308, size=31, centerX=43, centerY=16, leftEdge=28, rightEdge=58, redPixels=237, walkSteps=15, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777235322, size=31, centerX=43, centerY=16, leftEdge=28, rightEdge=58, redPixels=237, walkSteps=15, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777235362, size=46, centerX=56, centerY=78, leftEdge=34, rightEdge=78, redPixels=453, walkSteps=8, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777235386, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777235417, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777235464, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777235610, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777236085, size=48, centerX=61, centerY=81, leftEdge=38, rightEdge=84, redPixels=460, walkSteps=12, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777236127, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777269705, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777269800, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777270271, size=47, centerX=47, centerY=84, leftEdge=24, rightEdge=70, redPixels=464, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777270291, size=46, centerX=54, centerY=78, leftEdge=32, rightEdge=76, redPixels=454, walkSteps=11, sidestepDir=1, kick=LeftFootKick
